sub_mode, algo_mode, multi, div, classifier, p, r, f1, acc, baseline, date, tags, feats, feat_types, difficulties, size
submiss, categ,0, DivAll, SVM,0.37,0.38,0.34,0.38,0.21, 2016/11/29 17:40:21, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, DivAll, RFT,0.39,0.41,0.39,0.41,0.21, 2016/11/29 17:41:30, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div1, RFT,0.29,0.32,0.3,0.32,0.22, 2016/11/29 17:45:45, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div2, RFT,0.25,0.27,0.26,0.27,0.21, 2016/11/29 17:46:31, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, DivAll, RFT,0.26,0.28,0.27,0.28,0.21, 2016/11/29 17:47:45, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div1, RFT,0.37,0.4,0.38,0.4,0.22, 2016/11/29 17:48:20, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div2, RFT,0.31,0.33,0.31,0.33,0.21, 2016/11/29 17:49:12, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, DivAll, RFT,0.33,0.36,0.34,0.36,0.21, 2016/11/29 17:50:04, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div1, RFT,0.34,0.37,0.35,0.37,0.22, 2016/11/29 17:51:32, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div2, RFT,0.29,0.32,0.3,0.32,0.21, 2016/11/29 17:52:04, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div1, RFT,0.41,0.43,0.41,0.43,0.22, 2016/11/29 21:00:14, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div2, RFT,0.35,0.37,0.35,0.37,0.21, 2016/11/29 21:00:43, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div1, RFT,0.4,0.43,0.41,0.43,0.22, 2017/02/01 15:12:46, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div2, RFT,0.36,0.38,0.36,0.38,0.21, 2017/02/01 15:13:23, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, DivAll, RFT,0.39,0.41,0.39,0.41,0.21, 2017/02/01 15:14:21, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div1, RFT,0.4,0.43,0.41,0.43,0.22, 2017/02/04 14:33:32, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div2, RFT,0.36,0.39,0.36,0.39,0.21, 2017/02/04 14:34:34, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, DivAll, RFT,0.39,0.41,0.39,0.41,0.21, 2017/02/04 14:36:19, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div1, RFT,0.41,0.44,0.41,0.44,0.22, 2017/02/04 16:55:50, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div2, RFT,0.37,0.39,0.36,0.39,0.21, 2017/02/04 16:56:55, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, DivAll, RFT,0.4,0.42,0.4,0.42,0.21, 2017/02/04 16:58:21, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, pairs,0, Div1, RFT,0.72,0.73,0.72,0.73,0.65, 2017/02/04 17:10:15, dp:greedy,,
submiss, pairs,0, Div2, RFT,0.75,0.75,0.75,0.75,0.54, 2017/02/04 17:10:17, dp:greedy,,
submiss, pairs,0, DivAll, RFT,0.76,0.76,0.76,0.76,0.54, 2017/02/04 17:10:19, dp:greedy,,
submiss, categ,0, Div1, RFT,0.47,0.48,0.47,0.48,0.23, 2017/02/04 20:44:30, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, Div2, RFT,0.41,0.43,0.41,0.43,0.24, 2017/02/04 20:45:05, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,0, DivAll, RFT,0.44,0.46,0.45,0.46,0.23, 2017/02/04 20:46:00, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div1, SVM,0.38,0.75,0.49,0.04,0.25, 2017/02/04 20:48:45, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div1, RFT,0.62,0.33,0.41,0.19,0.25, 2017/02/04 20:49:17, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div2, SVM,0.39,0.78,0.51,0.02,0.21, 2017/02/04 20:49:28, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div2, RFT,0.59,0.32,0.39,0.18,0.21, 2017/02/04 20:50:35, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, DivAll, SVM,0.39,0.76,0.5,0.03,0.22, 2017/02/04 20:50:54, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, DivAll, RFT,0.62,0.32,0.41,0.19,0.22, 2017/02/04 20:52:45, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, pairs,0, Div1, SVM,0.75,0.76,0.66,0.76,0.76, 2017/02/06 15:51:36, brute force:dp,,
submiss, pairs,0, Div1, RFT,0.68,0.74,0.69,0.74,0.76, 2017/02/06 15:51:38, brute force:dp,,
submiss, pairs,0, Div2, SVM,0.68,0.52,0.38,0.52,0.51, 2017/02/06 15:51:38, brute force:dp,,
submiss, pairs,0, Div2, RFT,0.71,0.71,0.71,0.71,0.51, 2017/02/06 15:51:40, brute force:dp,,
submiss, pairs,0, DivAll, SVM,0.65,0.6,0.46,0.6,0.6, 2017/02/06 15:51:40, brute force:dp,,
submiss, pairs,0, DivAll, RFT,0.72,0.73,0.72,0.73,0.6, 2017/02/06 15:51:44, brute force:dp,,
submiss, pairs,0, Div1, SVM,0.81,0.77,0.72,0.77,0.69, 2017/02/06 15:53:26, graphs:math,,
submiss, pairs,0, Div1, RFT,0.84,0.84,0.84,0.84,0.69, 2017/02/06 15:53:27, graphs:math,,
submiss, pairs,0, Div2, SVM,0.84,0.83,0.8,0.83,0.76, 2017/02/06 15:53:27, graphs:math,,
submiss, pairs,0, Div2, RFT,0.89,0.89,0.89,0.89,0.76, 2017/02/06 15:53:28, graphs:math,,
submiss, pairs,0, DivAll, SVM,0.82,0.8,0.76,0.8,0.74, 2017/02/06 15:53:28, graphs:math,,
submiss, pairs,0, DivAll, RFT,0.88,0.88,0.88,0.88,0.74, 2017/02/06 15:53:30, graphs:math,,
submiss, categ,1, Div1, SVM,0.37,0.72,0.48,0.04,0.24, 2017/02/09 10:08:27, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div1, RFT,0.58,0.3,0.38,0.17,0.24, 2017/02/09 10:08:59, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div2, SVM,0.38,0.74,0.49,0.02,0.2, 2017/02/09 10:09:05, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div2, RFT,0.58,0.3,0.37,0.17,0.2, 2017/02/09 10:09:44, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, DivAll, SVM,0.38,0.73,0.48,0.02,0.21, 2017/02/09 10:09:55, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, DivAll, RFT,0.61,0.31,0.39,0.17,0.21, 2017/02/09 10:11:06, binary search:brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div1, SVM,0.38,0.76,0.49,0.05,0.25, 2017/02/09 10:12:43, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div1, RFT,0.6,0.33,0.41,0.19,0.25, 2017/02/09 10:13:14, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div2, SVM,0.39,0.77,0.51,0.02,0.21, 2017/02/09 10:13:26, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div2, RFT,0.6,0.32,0.4,0.18,0.21, 2017/02/09 10:14:33, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, DivAll, SVM,0.39,0.76,0.5,0.03,0.22, 2017/02/09 10:14:52, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, DivAll, RFT,0.62,0.33,0.41,0.19,0.22, 2017/02/09 10:15:52, brute force:data structures:dp:graphs:greedy:implementation:math,,
submiss, categ,1, Div1, SVM,0.38,0.74,0.49,0.04,0.24, 2017/02/09 10:17:17, brute force:data structures:dp:graphs:greedy:implementation:math:strings,,
submiss, categ,1, Div1, RFT,0.6,0.32,0.4,0.19,0.24, 2017/02/09 10:17:55, brute force:data structures:dp:graphs:greedy:implementation:math:strings,,
submiss, categ,1, Div2, SVM,0.39,0.76,0.5,0.02,0.2, 2017/02/09 10:18:08, brute force:data structures:dp:graphs:greedy:implementation:math:strings,,
submiss, categ,1, Div2, RFT,0.59,0.31,0.39,0.17,0.2, 2017/02/09 10:19:23, brute force:data structures:dp:graphs:greedy:implementation:math:strings,,
submiss, categ,1, DivAll, SVM,0.38,0.75,0.49,0.03,0.21, 2017/02/09 10:19:45, brute force:data structures:dp:graphs:greedy:implementation:math:strings,,
submiss, categ,1, DivAll, RFT,0.61,0.31,0.4,0.17,0.21, 2017/02/09 14:09:53, brute force:data structures:dp:graphs:greedy:implementation:math:strings,,
submiss, graph,0, DivAll, SVM,0.53,0.54,0.52,0.54,0.38, 2017/02/10 16:17:02, dfs and similar:flows:shortest paths:trees,,
submiss, graph,0, DivAll, RFT,0.59,0.59,0.58,0.59,0.38, 2017/02/10 16:17:07, dfs and similar:flows:shortest paths:trees,,
submiss, maths,0, DivAll, SVM,0.5,0.49,0.47,0.49,0.29, 2017/02/10 16:17:08, combinatorics:games:geometry:matrices:number theory:probabilities,,
submiss, maths,0, DivAll, RFT,0.53,0.53,0.52,0.53,0.29, 2017/02/10 16:17:18, combinatorics:games:geometry:matrices:number theory:probabilities,,
submiss, algos,0, DivAll, SVM,0.42,0.42,0.39,0.42,0.17, 2017/02/10 16:17:22, combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,,
submiss, algos,0, DivAll, RFT,0.47,0.47,0.46,0.47,0.17, 2017/02/10 16:17:43, combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,,
submiss, graph,0, DivAll, ADA,0.56,0.57,0.56,0.57,0.38, 2017/02/10 16:27:44, dfs and similar:flows:shortest paths:trees,,
submiss, graph,0, DivAll, LRC,0.53,0.54,0.52,0.54,0.38, 2017/02/10 16:27:45, dfs and similar:flows:shortest paths:trees,,
submiss, graph,0, DivAll, KNN,0.49,0.5,0.48,0.5,0.38, 2017/02/10 16:27:48, dfs and similar:flows:shortest paths:trees,,
submiss, maths,0, DivAll, ADA,0.51,0.51,0.5,0.51,0.29, 2017/02/10 16:27:57, combinatorics:games:geometry:matrices:number theory:probabilities,,
submiss, maths,0, DivAll, LRC,0.5,0.5,0.47,0.5,0.29, 2017/02/10 16:28:00, combinatorics:games:geometry:matrices:number theory:probabilities,,
submiss, maths,0, DivAll, KNN,0.41,0.41,0.38,0.41,0.29, 2017/02/10 16:28:09, combinatorics:games:geometry:matrices:number theory:probabilities,,
submiss, algos,0, DivAll, ADA,0.45,0.46,0.45,0.46,0.17, 2017/02/10 16:28:43, combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,,
submiss, algos,0, DivAll, LRC,0.42,0.43,0.4,0.43,0.17, 2017/02/10 16:28:53, combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,,
submiss, algos,0, DivAll, KNN,0.36,0.36,0.34,0.36,0.17, 2017/02/10 16:29:34, combinatorics:dfs and similar:flows:games:geometry:matrices:number theory:probabilities:shortest paths:trees,,
submiss, pairs,0, DivAll, SVM,0.83,0.81,0.77,0.81,0.74, 2017/02/10 16:43:40, graphs:math,,
submiss, pairs,0, DivAll, RFT,0.88,0.88,0.88,0.88,0.74, 2017/02/10 16:43:44, graphs:math,,
submiss, categ,1, DivAll, SVM,0.39,0.75,0.49,0.03,0.21, 2017/02/10 16:44:49, brute force:data structures:dp:graphs:greedy:implementation:math:strings,,
submiss, categ,1, DivAll, RFT,0.62,0.32,0.4,0.17,0.21, 2017/02/10 16:46:58, brute force:data structures:dp:graphs:greedy:implementation:math:strings,,
problem, categ,1, DivAll, SVM,0.45,0.78,0.56,0.06,0.21, 2017/02/10 16:48:08, brute force:data structures:dp:graphs:greedy:implementation:math:strings,,
problem, categ,1, DivAll, RFT,0.67,0.36,0.45,0.21,0.21, 2017/02/10 16:48:15, brute force:data structures:dp:graphs:greedy:implementation:math:strings,,
submiss, categ,1, DivAll, SVM,0.39,0.75,0.51,0.03,0.21, 2017/02/10 16:56:40, brute force:data structures:dp:graphs:greedy:implementation:math:strings,,
