problem_id,classifier,sample_flag,sampler,select_flag,stratify_flag,test_mode,duplicate,total_size,split,train_ratio,train_size,upsmaple_size,tag_info,select_mode,class_mode,f_score,acc,auc,base_acc_0,base_acc_1
915/C,rft,True,smote,False,True,cross,remove,1430,kf,0.9,1287,1454,['none'],none,OK,0.60,0.65,0.73,0.44,0.56
113/B,rft,True,smote,False,True,cross,remove, 817,kf,0.9, 735, 842,['none'],none,OK,0.59,0.68,0.74,0.43,0.57
909/A,rft,True,smote,False,True,cross,remove,1987,kf,0.9,1788,2740,['none'],none,OK,0.87,0.79,0.76,0.77,0.23
909/B,rft,True,smote,False,True,cross,remove,1914,kf,0.9,1722,2586,['none'],none,OK,0.89,0.82,0.84,0.75,0.25
909/C,rft,True,smote,False,True,cross,remove,1129,kf,0.9,1016,1232,['none'],none,OK,0.73,0.79,0.88,0.39,0.61
909/D,rft,True,smote,False,True,cross,remove, 951,kf,0.9, 855,1262,['none'],none,OK,0.91,0.86,0.87,0.74,0.26
909/E,rft,True,smote,False,True,cross,remove, 172,kf,0.9, 154, 158,['none'],none,OK,0.57,0.59,0.65,0.49,0.51
864/A,rft,True,smote,False,True,cross,remove,1888,kf,0.9,1699,2286,['none'],none,OK,0.81,0.72,0.72,0.67,0.33
864/B,rft,True,smote,False,True,cross,remove,1747,kf,0.9,1572,2106,['none'],none,OK,0.80,0.71,0.72,0.67,0.33
864/C,rft,True,smote,False,True,cross,remove,1358,kf,0.9,1222,1286,['none'],none,OK,0.62,0.59,0.63,0.53,0.47
864/D,rft,True,smote,False,True,cross,remove,1659,kf,0.9,1493,2052,['none'],none,OK,0.82,0.74,0.74,0.69,0.31
864/E,rft,True,smote,False,True,cross,remove, 631,kf,0.9, 567, 630,['none'],none,OK,0.57,0.63,0.69,0.45,0.55
900/A,rft,True,smote,False,True,cross,remove,2364,kf,0.9,2127,3460,['none'],none,OK,0.91,0.84,0.74,0.81,0.19
900/B,rft,True,smote,False,True,cross,remove,1924,kf,0.9,1731,1764,['none'],none,OK,0.71,0.71,0.80,0.49,0.51
900/C,rft,True,smote,False,True,cross,remove,1798,kf,0.9,1618,2246,['none'],none,OK,0.52,0.73,0.76,0.31,0.69
